iso_week,monday_date,arm
2026-W23,2026-06-01,A
2026-W24,2026-06-08,A
2026-W25,2026-06-15,B
2026-W26,2026-06-22,B
2026-W27,2026-06-29,A
2026-W28,2026-07-06,A
2026-W29,2026-07-13,B
2026-W30,2026-07-20,B
2026-W31,2026-07-27,A
2026-W32,2026-08-03,A
2026-W33,2026-08-10,B
2026-W34,2026-08-17,B
2026-W35,2026-08-24,A
2026-W36,2026-08-31,A
2026-W37,2026-09-07,B
2026-W38,2026-09-14,B
2026-W39,2026-09-21,A
2026-W40,2026-09-28,A
2026-W41,2026-10-05,B
2026-W42,2026-10-12,B
2026-W43,2026-10-19,B
2026-W44,2026-10-26,B
2026-W45,2026-11-02,A
2026-W46,2026-11-09,A
2026-W47,2026-11-16,A
2026-W48,2026-11-23,A
2026-W49,2026-11-30,B
2026-W50,2026-12-07,B
2026-W51,2026-12-14,B
2026-W52,2026-12-21,B
2026-W53,2026-12-28,A
2027-W01,2027-01-04,A
2027-W02,2027-01-11,A
2027-W03,2027-01-18,A
2027-W04,2027-01-25,B
2027-W05,2027-02-01,B
2027-W06,2027-02-08,B
2027-W07,2027-02-15,B
2027-W08,2027-02-22,A
2027-W09,2027-03-01,A
2027-W10,2027-03-08,A
2027-W11,2027-03-15,A
2027-W12,2027-03-22,B
2027-W13,2027-03-29,B
2027-W14,2027-04-05,A
2027-W15,2027-04-12,A
2027-W16,2027-04-19,B
2027-W17,2027-04-26,B
2027-W18,2027-05-03,A
2027-W19,2027-05-10,A
2027-W20,2027-05-17,B
2027-W21,2027-05-24,B
2027-W22,2027-05-31,B
